"Dato";"Region";"Kategori";"Antal borgere"
2020-08-02;Sjælland;Indlæggelse pga. covid-19;2
2020-08-03;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-08-03;Midtjylland;Indlæggelse pga. covid-19;2
2020-08-03;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-03;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-08-03;Sjælland;Indlæggelse pga. covid-19;1
2020-08-03;Syddanmark;Indlæggelse pga. covid-19;1
2020-08-04;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-04;Midtjylland;Indlæggelse pga. covid-19;1
2020-08-04;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-08-04;Sjælland;Indlæggelse pga. covid-19;2
2020-08-05;Hovedstaden;Indlæggelse pga. covid-19;1
2020-08-05;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;2
2020-08-05;Midtjylland;Indlæggelse pga. andre forhold end covid-19;1
2020-08-05;Midtjylland;Indlæggelse pga. covid-19;3
2020-08-06;Midtjylland;Indlæggelse pga. covid-19;1
2020-08-06;Nordjylland;Indlæggelse pga. covid-19;1
2020-08-06;Sjælland;Indlæggelse pga. covid-19;1
2020-08-06;Syddanmark;Indlæggelse pga. covid-19;1
2020-08-07;Hovedstaden;Indlæggelse pga. covid-19;2
2020-08-07;Midtjylland;Indlæggelse pga. covid-19;2
2020-08-07;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-08;Midtjylland;Indlæggelse pga. covid-19;1
2020-08-08;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-08;Sjælland;Indlæggelse pga. covid-19;1
2020-08-09;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-09;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-09;Sjælland;Indlæggelse pga. covid-19;1
2020-08-10;Hovedstaden;Indlæggelse pga. covid-19;1
2020-08-10;Midtjylland;Indlæggelse pga. covid-19;1
2020-08-10;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-10;Sjælland;Indlæggelse pga. covid-19;1
2020-08-11;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-08-11;Midtjylland;Indlæggelse pga. covid-19;1
2020-08-11;Sjælland;Indlæggelse pga. covid-19;1
2020-08-12;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-08-12;Nordjylland;Indlæggelse pga. covid-19;1
2020-08-12;Sjælland;Indlæggelse pga. covid-19;1
2020-08-13;;Indlæggelse pga. covid-19;1
2020-08-13;Hovedstaden;Indlæggelse pga. covid-19;1
2020-08-13;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-13;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-14;;Indlæggelse pga. covid-19;1
2020-08-14;Hovedstaden;Indlæggelse pga. covid-19;1
2020-08-14;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-14;Midtjylland;Indlæggelse pga. covid-19;2
2020-08-14;Sjælland;Indlæggelse pga. covid-19;1
2020-08-15;Sjælland;Indlæggelse pga. covid-19;1
2020-08-15;Sjælland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-16;Hovedstaden;Indlæggelse pga. covid-19;1
2020-08-16;Midtjylland;Indlæggelse pga. covid-19;3
2020-08-16;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-17;Hovedstaden;Indlæggelse pga. covid-19;1
2020-08-17;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-17;Midtjylland;Indlæggelse pga. covid-19;3
2020-08-17;Nordjylland;Indlæggelse pga. covid-19;1
2020-08-17;Sjælland;Indlæggelse pga. andre forhold end covid-19;1
2020-08-17;Sjælland;Indlæggelse pga. covid-19;1
2020-08-18;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-19;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-08-19;Midtjylland;Indlæggelse pga. covid-19;1
2020-08-19;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-19;Sjælland;Indlæggelse pga. covid-19;1
2020-08-19;Syddanmark;Indlæggelse pga. covid-19;1
2020-08-20;Hovedstaden;Indlæggelse pga. covid-19;1
2020-08-20;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-20;Midtjylland;Indlæggelse pga. covid-19;4
2020-08-20;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-20;Sjælland;Indlæggelse pga. covid-19;1
2020-08-21;Midtjylland;Indlæggelse pga. covid-19;1
2020-08-21;Midtjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-21;Nordjylland;Indlæggelse pga. covid-19;1
2020-08-21;Nordjylland;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-21;Syddanmark;Indlæggelse pga. covid-19;1
2020-08-22;Hovedstaden;Indlæggelse pga. covid-19;1
2020-08-22;Hovedstaden;Indlæggelse, hvor covid-19 kan have spillet en rolle;1
2020-08-22;Nordjylland;Indlæggelse pga. covid-19;1
2020-08-23;Hovedstaden;Indlæggelse pga. andre forhold end covid-19;1
2020-08-23;Midtjylland;Indlæggelse pga. covid-19;1
