"Uge";"Aldersgruppe";"Testede pr. 100.000 borgere";"Positive pr. 100.000 borgere";"Nyindlagte pr. 100.000 borgere";"Antal testede";"Antal positive"
2020-U30;65-79;1743;2;0,8;15568;22
2020-U30;80+;1958;2;1,4;5463;6
2020-U31;00-02;874;2;0,0;1619;4
2020-U31;03-05;653;3;0,0;1199;5
2020-U31;06-11;706;2;0,0;2682;8
2020-U31;12-15;1620;7;0,0;4425;18
2020-U31;16-19;2536;8;0,0;6968;23
2020-U31;20-39;2816;14;0,4;41398;210
2020-U31;40-64;2516;10;0,6;47953;182
2020-U31;65-79;2160;3;0,3;19292;29
2020-U31;80+;2322;2;1,8;6477;6
2020-U32;00-02;1425;4;0,5;2648;7
2020-U32;03-05;1114;9;0,0;2046;16
2020-U32;06-11;1047;12;0,0;3974;47
2020-U32;12-15;2479;18;0,0;6770;50
2020-U32;16-19;3935;28;0,0;10806;76
2020-U32;20-39;3728;23;0,5;54783;339
2020-U32;40-64;3146;15;0,7;59961;292
2020-U32;65-79;2443;6;0,9;21863;52
2020-U32;80+;2380;3;1,1;6657;7
2020-U33;00-02;2136;6;0,0;3971;11
2020-U33;03-05;1935;8;0,0;3555;14
2020-U33;06-11;1962;14;0,0;7451;52
2020-U33;12-15;3062;21;0,0;8361;58
2020-U33;16-19;4559;39;0,0;12519;108
2020-U33;20-39;4907;24;0,1;72117;358
2020-U33;40-64;3882;13;0,7;74004;249
2020-U33;65-79;2964;4;0,8;26523;39
2020-U33;80+;2691;3;1,1;7527;9
2020-U34;00-02;2653;6;0,0;4932;11
2020-U34;03-05;2948;8;0,0;5416;15
2020-U34;06-11;4209;13;0,0;15983;49
2020-U34;12-15;5574;14;0,4;15220;39
2020-U34;16-19;6115;27;0,7;16793;73
2020-U34;20-39;5178;17;0,7;76102;256
2020-U34;40-64;4052;8;0,5;77246;146
2020-U34;65-79;2670;3;0,6;23897;23
2020-U34;80+;2416;3;1,8;6758;9
2020-U35;00-02;2702;3;0,5;5023;5
2020-U35;03-05;2893;3;0,0;5314;6
2020-U35;06-11;4628;5;0,3;17572;20
2020-U35;12-15;6016;12;0,0;16427;32
2020-U35;16-19;6277;19;0,0;17238;53
2020-U35;20-39;5080;17;0,1;74660;250
2020-U35;40-64;4045;10;0,5;77099;182
2020-U35;65-79;2606;5;1,0;23324;42
2020-U35;80+;2406;3;1,1;6732;8
2020-U36;00-02;2500;8;0,5;4652;14
2020-U36;03-05;2264;9;0,0;4163;17
2020-U36;06-11;4328;13;0,3;16393;50
2020-U36;12-15;6902;27;0,0;18897;75
2020-U36;16-19;6355;27;0,4;17434;73
2020-U36;20-39;5631;38;0,7;82713;559
2020-U36;40-64;4318;21;0,9;82290;397
2020-U36;65-79;2573;9;1,3;23029;84
2020-U36;80+;2371;6;0,7;6655;17
2020-U37;00-02;2843;17;0,0;5289;31
2020-U37;03-05;2793;14;0,0;5136;25
2020-U37;06-11;5157;36;0,3;19536;137
2020-U37;12-15;8727;62;0,0;23895;171
2020-U37;16-19;9149;57;1,5;25100;156
2020-U37;20-39;7074;49;0,7;103915;714
2020-U37;40-64;5880;40;1,5;112044;766
2020-U37;65-79;3274;21;2,7;29309;184
2020-U37;80+;2910;15;3,9;8168;43
2020-U38;00-02;2947;11;0,5;5483;21
2020-U38;03-05;2819;18;0,0;5183;33
2020-U38;06-11;4732;35;0,0;17924;131
2020-U38;12-15;8687;52;0,7;23784;142
2020-U38;16-19;10742;113;0,4;29470;310
2020-U38;20-39;7604;82;1,1;111700;1198
2020-U38;40-64;6262;55;2,0;119332;1054
2020-U38;65-79;3617;25;3,6;32377;225
2020-U38;80+;3279;25;8,2;9204;71
2020-U39;00-02;2814;18;0,5;5235;33
2020-U39;03-05;3085;30;0,0;5673;56
2020-U39;06-11;4538;57;0,0;17189;215
2020-U39;12-15;7408;74;0,7;20283;203
2020-U39;16-19;10366;139;0,4;28437;382
2020-U39;20-39;7727;88;1,3;113500;1299
2020-U39;40-64;6315;59;2,2;120345;1124
2020-U39;65-79;3621;26;4,6;32417;230
2020-U39;80+;3371;26;10,0;9461;74
2020-U40;00-02;2438;20;0,5;4536;38
2020-U40;03-05;2670;30;0,0;4910;56
2020-U40;06-11;3721;43;0,0;14095;162
2020-U40;12-15;6454;66;0,4;17672;180
2020-U40;16-19;8081;104;0,4;22169;284
2020-U40;20-39;6736;62;0,7;98956;913
2020-U40;40-64;5671;49;2,8;108063;925
2020-U40;65-79;3403;23;4,1;30461;202
2020-U40;80+;3218;15;8,6;9032;43
2020-U41;00-02;2255;15;0,5;4226;28
2020-U41;03-05;2842;16;0,0;5258;29
2020-U41;06-11;3946;34;0,3;14963;129
2020-U41;12-15;5954;72;0,4;16362;197
2020-U41;16-19;7386;85;0,4;20396;235
2020-U41;20-39;6380;57;1,1;94641;850
2020-U41;40-64;5645;49;2,1;107808;928
2020-U41;65-79;3148;24;2,8;28241;213
2020-U41;80+;2985;25;7,8;8414;70
2020-U42;00-02;1873;19;0,0;3510;35
2020-U42;03-05;2004;22;0,0;3709;41
2020-U42;06-11;2578;37;0,0;9775;142
2020-U42;12-15;3763;62;0,0;10341;170
2020-U42;16-19;5604;95;0,4;15475;263
2020-U42;20-39;5395;74;1,1;80029;1096
2020-U42;40-64;4489;54;2,5;85736;1039
2020-U42;65-79;2774;32;4,9;24882;287
2020-U42;80+;2953;27;11,0;8324;77
2020-U43;00-02;2365;40;1,1;4432;75
2020-U43;03-05;2809;43;0,0;5198;80
2020-U43;06-11;3748;78;0,3;14212;295
2020-U43;12-15;5900;111;0,0;16215;304
2020-U43;16-19;9269;226;0,7;25595;625
2020-U43;20-39;7335;137;1,6;108809;2035
2020-U43;40-64;6467;98;2,6;123505;1879
2020-U43;65-79;3686;44;5,4;33061;394
2020-U43;80+;3516;33;11,7;9910;92
2020-U44;00-02;3599;45;0,5;6746;85
2020-U44;03-05;5020;59;0,0;9289;109
2020-U44;06-11;7490;125;0,5;28400;474
2020-U44;12-15;11455;211;1,1;31481;581
2020-U44;16-19;12599;244;1,1;34790;673
2020-U44;20-39;9157;168;2,0;135836;2492
2020-U44;40-64;8061;129;4,9;153945;2463
2020-U44;65-79;4305;54;7,5;38616;488
2020-U44;80+;4130;41;14,5;11641;116
2020-U45;00-02;4101;64;1,6;7634;120
2020-U45;03-05;5565;87;0,0;10272;161
2020-U45;06-11;8432;132;0,3;31816;497
2020-U45;12-15;12576;209;0,7;34518;573
2020-U45;16-19;11319;196;1,1;31162;540
2020-U45;20-39;9308;160;2,8;137180;2363
2020-U45;40-64;8941;130;5,1;170412;2472
2020-U45;65-79;4761;56;10,1;42693;500
2020-U45;80+;4441;41;13,1;12550;115
2020-U46;00-02;3770;58;0,5;7017;108
2020-U46;03-05;5620;64;0,0;10373;118
2020-U46;06-11;9337;136;0,0;35231;512
2020-U46;12-15;12602;180;0,7;34590;493
2020-U46;16-19;10968;224;1,5;30196;618
2020-U46;20-39;9529;163;2,1;140428;2404
2020-U46;40-64;9463;133;5,4;180361;2535
2020-U46;65-79;5888;55;9,4;52801;493
2020-U46;80+;5456;50;18,0;15416;140
2020-U47;00-02;3807;53;2,7;7086;99
2020-U47;03-05;5789;72;0,0;10685;133
2020-U47;06-11;9664;146;0,3;36467;551
2020-U47;12-15;13303;246;0,0;36515;674
2020-U47;16-19;12174;250;0,4;33514;687
2020-U47;20-39;9494;180;2,3;139918;2651
2020-U47;40-64;9526;146;4,9;181564;2783
2020-U47;65-79;5667;64;9,6;50814;576
2020-U47;80+;5729;76;30,8;16189;215
2020-U48;00-02;3443;46;4,3;6409;86
2020-U48;03-05;5928;75;0,0;10941;139
2020-U48;06-11;9797;149;0,0;36969;561
2020-U48;12-15;12951;236;0,0;35548;648
2020-U48;16-19;12869;304;0,4;35428;838
2020-U48;20-39;9565;188;1,6;140957;2772
2020-U48;40-64;9407;151;5,1;179305;2870
2020-U48;65-79;5423;67;7,9;48630;602
2020-U48;80+;5713;74;25,5;16143;209
2020-U49;00-02;3753;61;1,6;6968;114
2020-U49;03-05;5749;108;0,0;10634;200
2020-U49;06-11;10279;212;0,5;38714;799
2020-U49;12-15;14681;373;0,0;40306;1024
2020-U49;16-19;16110;484;1,8;44290;1333
2020-U49;20-39;10855;280;2,8;160093;4132
2020-U49;40-64;10110;217;5,8;192545;4127
2020-U49;65-79;5093;85;14,4;45693;765
2020-U49;80+;5303;88;35,7;15025;250
2020-U50;00-02;5115;136;2,2;9497;252
2020-U50;03-05;7683;159;1,1;14211;295
2020-U50;06-11;13030;353;0,8;49075;1331
2020-U50;12-15;16633;554;1,5;45666;1521
2020-U50;16-19;19635;665;3,6;53980;1829
2020-U50;20-39;15347;523;4,9;226335;7714
2020-U50;40-64;12610;375;10,7;240151;7147
2020-U50;65-79;5723;152;19,5;51346;1360
2020-U50;80+;5420;161;47,3;15357;457
2020-U51;00-02;7108;185;8,1;13199;344
2020-U51;03-05;12071;252;2,2;22326;466
2020-U51;06-11;15973;442;1,3;60157;1665
2020-U51;12-15;15808;480;1,8;43402;1319
2020-U51;16-19;19776;722;4,0;54367;1986
2020-U51;20-39;20588;543;7,2;303632;8005
2020-U51;40-64;16427;430;16,5;312857;8196
2020-U51;65-79;8100;223;33,4;72669;1998
2020-U51;80+;6964;234;79,8;19731;662
2020-U52;00-02;5140;172;6,5;9545;319
2020-U52;03-05;9295;226;0,0;17192;418
2020-U52;06-11;10792;331;1,1;40643;1246
2020-U52;12-15;10337;284;0,7;28380;781
2020-U52;16-19;14341;386;2,9;39427;1060
2020-U52;20-39;14178;350;7,0;209089;5163
2020-U52;40-64;13088;308;17,1;249260;5857
2020-U52;65-79;6090;163;37,9;54636;1465
2020-U52;80+;5917;242;91,4;16764;686
2020-U53;00-02;2400;106;2,7;4456;196
2020-U53;03-05;4383;161;0,0;8106;298
2020-U53;06-11;5292;205;0,3;19932;771
2020-U53;12-15;7164;232;0,0;19669;636
2020-U53;16-19;13795;310;4,4;37926;851
2020-U53;20-39;12846;304;6,0;189453;4489
2020-U53;40-64;10460;256;14,4;199221;4870
2020-U53;65-79;5621;169;36,0;50428;1518
2020-U53;80+;6286;297;104,5;17812;842
2021-U01;00-02;2318;108;6,0;4281;200
2021-U01;03-05;3966;126;0,5;7311;232
2021-U01;06-11;4006;151;0,5;14973;566
2021-U01;12-15;6350;168;0,7;17350;458
2021-U01;16-19;13635;272;1,8;37295;745
2021-U01;20-39;12562;239;5,2;184507;3503
2021-U01;40-64;12236;202;12,7;231807;3831
2021-U01;65-79;6487;117;28,2;57955;1042
2021-U01;80+;6910;244;100,6;19511;690
2021-U02;00-02;2646;74;5,4;4887;137
2021-U02;03-05;4683;98;0,0;8633;181
2021-U02;06-11;3945;90;0,3;14744;338
2021-U02;12-15;5484;92;0,4;14982;250
2021-U02;16-19;9541;131;1,5;26098;359
2021-U02;20-39;11738;137;3,1;172405;2005
2021-U02;40-64;14982;134;10,2;283816;2543
2021-U02;65-79;6914;73;25,0;61772;652
2021-U02;80+;7002;186;69,4;19771;524
2021-U03;00-02;2873;56;2,2;5306;103
2021-U03;03-05;5049;80;0,5;9307;148
2021-U03;06-11;4370;69;0,0;16334;259
2021-U03;12-15;6096;74;0,4;16655;203
2021-U03;16-19;10612;82;1,5;29028;225
2021-U03;20-39;14851;110;3,3;218132;1610
2021-U03;40-64;19646;101;8,5;372181;1908
2021-U03;65-79;7631;57;19,6;68173;508
2021-U03;80+;6747;119;69,4;19052;335
2021-U04;00-02;2679;50;1,6;4948;93
2021-U04;03-05;4622;67;0,0;8520;123
2021-U04;06-11;4287;52;0,0;16023;193
2021-U04;12-15;6332;60;0,0;17299;163
2021-U04;16-19;11274;63;1,5;30839;171
2021-U04;20-39;15586;72;2,7;228930;1053
2021-U04;40-64;20771;66;5,2;393488;1251
2021-U04;65-79;7608;39;11,4;67975;344
2021-U04;80+;6185;72;36,5;17465;204
2021-U05;00-02;2297;40;2,2;4236;73
2021-U05;03-05;4178;42;0,5;7714;78
2021-U05;06-11;5735;47;0,5;21396;176
2021-U05;12-15;6592;48;0,0;18006;131
2021-U05;16-19;11943;54;0,7;32633;147
2021-U05;20-39;16131;67;1,6;236888;987
2021-U05;40-64;21632;55;3,3;409654;1049
2021-U05;65-79;7307;35;10,0;65344;309
2021-U05;80+;5520;50;20,2;15586;141
2021-U06;00-02;2281;24;2,7;4207;44
2021-U06;03-05;4557;41;0,0;8414;76
2021-U06;06-11;6810;60;0,3;25405;224
2021-U06;12-15;8538;49;0,7;23321;135
2021-U06;16-19;13451;53;0,7;36755;145
2021-U06;20-39;16242;58;2,0;238510;855
2021-U06;40-64;21688;49;3,6;410708;936
2021-U06;65-79;7311;25;7,5;65378;224
2021-U06;80+;4928;26;13,8;13914;73
2021-U07;00-02;2479;47;1,1;4572;87
2021-U07;03-05;5212;80;1,6;9622;148
2021-U07;06-11;8157;81;0,3;30430;303
2021-U07;12-15;9047;56;0,4;24711;152
2021-U07;16-19;14221;77;0,4;38859;210
2021-U07;20-39;16480;75;1,6;242005;1099
2021-U07;40-64;21859;57;3,5;413955;1075
2021-U07;65-79;8366;25;4,9;74817;227
2021-U07;80+;4906;22;15,2;13853;61
2021-U08;00-02;2956;53;1,6;5451;97
2021-U08;03-05;6038;69;0,5;11148;127
2021-U08;06-11;9916;89;0,3;36995;331
2021-U08;12-15;12377;70;0,4;33808;190
2021-U08;16-19;18526;83;1,1;50621;226
2021-U08;20-39;18509;83;2,2;271799;1225
2021-U08;40-64;24512;61;4,3;464199;1155
2021-U08;65-79;10344;28;5,3;92502;253
2021-U08;80+;5503;31;11,7;15540;88
2021-U09;00-02;3219;46;0,0;5939;84
2021-U09;03-05;7050;70;0,0;13042;129
2021-U09;06-11;12433;106;0,8;46292;393
2021-U09;12-15;13229;70;0,4;36115;190
2021-U09;16-19;18477;88;1,5;50441;240
2021-U09;20-39;20146;79;2,3;295850;1156
2021-U09;40-64;26524;60;4,4;502126;1143
2021-U09;65-79;10996;25;6,6;98411;223
2021-U09;80+;5491;24;11,7;15513;68
2021-U10;00-02;3331;43;0,5;6146;79
2021-U10;03-05;7394;79;0,5;13678;147
2021-U10;06-11;14718;110;0,0;54799;411
2021-U10;12-15;20448;77;0,4;55825;210
2021-U10;16-19;26577;99;0,7;72552;269
2021-U10;20-39;19958;86;2,1;293076;1256
2021-U10;40-64;25984;64;4,5;491899;1209
2021-U10;65-79;10068;21;6,3;90109;187
2021-U10;80+;4874;19;9,2;13769;53
2021-U11;00-02;3491;48;1,1;6441;88
2021-U11;03-05;7699;84;0,0;14242;156
2021-U11;06-11;18020;141;0,3;67094;524
2021-U11;12-15;30210;99;0,4;82475;269
2021-U11;16-19;29526;122;1,1;80602;332
2021-U11;20-39;20238;99;1,6;297190;1459
2021-U11;40-64;26762;74;4,9;506640;1401
2021-U11;65-79;10334;27;5,6;92483;246
2021-U11;80+;4775;17;9,9;13489;48
2021-U12;00-02;3562;55;2,2;6572;102
2021-U12;03-05;8479;69;0,0;15685;127
2021-U12;06-11;18402;138;0,0;68517;514
2021-U12;12-15;23329;100;0,0;63690;274
2021-U12;16-19;21730;130;1,1;59320;354
2021-U12;20-39;21363;116;3,3;313711;1708
2021-U12;40-64;26971;85;6,1;510581;1608
2021-U12;65-79;11098;31;7,4;99322;281
2021-U12;80+;4577;21;5,0;12930;60
2021-U13;00-02;2942;40;1,1;5427;73
2021-U13;03-05;8187;74;1,1;15145;136
2021-U13;06-11;17028;101;0,5;63401;375
2021-U13;12-15;23450;87;0,4;64020;238
2021-U13;16-19;25168;134;0,4;68706;365
2021-U13;20-39;20962;100;3,1;307827;1467
2021-U13;40-64;25157;74;5,9;476243;1409
2021-U13;65-79;12396;30;7,8;110944;267
2021-U13;80+;4545;20;9,9;12840;57
2021-U14;00-02;2018;38;0,5;3726;70
2021-U14;03-05;4876;58;0,0;9035;107
2021-U14;06-11;13818;83;0,3;51377;310
2021-U14;12-15;24771;101;0,0;67592;275
2021-U14;16-19;22076;174;1,8;60233;475
2021-U14;20-39;22152;106;3,3;325457;1558
2021-U14;40-64;29940;73;5,1;566525;1377
2021-U14;65-79;15229;30;5,8;136504;267
2021-U14;80+;5373;18;5,6;15231;51
2021-U15;00-02;3366;50;3,8;6216;92
2021-U15;03-05;7107;85;0,0;13169;157
2021-U15;06-11;14101;125;0,5;52429;466
2021-U15;12-15;20138;111;0,0;54950;302
2021-U15;16-19;19588;180;0,7;53444;491
2021-U15;20-39;24421;117;3,3;358806;1715
2021-U15;40-64;30111;80;5,1;569762;1518
2021-U15;65-79;12931;24;6,2;115905;219
