"Uge";"Region";"Antal reinfektioner";"Reinfektioner pr. 100.000 borgere"
2021-U26;Sjælland;4;0,48
2021-U26;Syddanmark;1;0,08
2021-U27;Hovedstaden;46;2,49
2021-U27;Midtjylland;11;0,83
2021-U27;Sjælland;5;0,60
2021-U27;Syddanmark;3;0,25
2021-U28;Hovedstaden;55;2,97
2021-U28;Midtjylland;15;1,13
2021-U28;Sjælland;9;1,07
2021-U28;Syddanmark;10;0,82
2021-U29;Hovedstaden;34;1,84
2021-U29;Midtjylland;12;0,90
2021-U29;Nordjylland;1;0,17
2021-U29;Sjælland;5;0,60
2021-U29;Syddanmark;5;0,41
2021-U30;Hovedstaden;65;3,51
2021-U30;Midtjylland;19;1,43
2021-U30;Nordjylland;3;0,51
2021-U30;Sjælland;6;0,71
2021-U30;Syddanmark;6;0,49
2021-U31;Hovedstaden;51;2,75
2021-U31;Midtjylland;21;1,58
2021-U31;Nordjylland;11;1,87
2021-U31;Sjælland;4;0,48
2021-U31;Syddanmark;11;0,90
2021-U32;Hovedstaden;61;3,29
2021-U32;Midtjylland;26;1,95
2021-U32;Nordjylland;8;1,36
2021-U32;Sjælland;10;1,19
2021-U32;Syddanmark;14;1,14
2021-U33;Hovedstaden;77;4,16
2021-U33;Midtjylland;16;1,20
2021-U33;Nordjylland;3;0,51
2021-U33;Sjælland;5;0,60
2021-U33;Syddanmark;13;1,06
2021-U34;Hovedstaden;67;3,62
2021-U34;Midtjylland;14;1,05
2021-U34;Nordjylland;4;0,68
2021-U34;Sjælland;4;0,48
2021-U34;Syddanmark;11;0,90
2021-U35;Hovedstaden;46;2,48
2021-U35;Midtjylland;15;1,13
2021-U35;Sjælland;7;0,83
2021-U35;Syddanmark;9;0,74
2021-U36;Hovedstaden;38;2,05
2021-U36;Midtjylland;4;0,30
2021-U36;Sjælland;4;0,48
2021-U36;Syddanmark;4;0,33
2021-U37;Hovedstaden;17;0,92
2021-U37;Midtjylland;3;0,22
2021-U37;Nordjylland;1;0,17
2021-U37;Sjælland;4;0,48
2021-U37;Syddanmark;3;0,25
2021-U38;Hovedstaden;11;0,59
2021-U38;Midtjylland;5;0,37
2021-U38;Nordjylland;2;0,34
2021-U38;Sjælland;1;0,12
2021-U38;Syddanmark;3;0,25
2021-U39;Hovedstaden;20;1,08
2021-U39;Midtjylland;5;0,37
2021-U39;Nordjylland;1;0,17
2021-U39;Sjælland;5;0,59
2021-U39;Syddanmark;4;0,33
2021-U40;Hovedstaden;31;1,67
2021-U40;Midtjylland;8;0,60
2021-U40;Nordjylland;1;0,17
2021-U40;Sjælland;4;0,48
2021-U40;Syddanmark;6;0,49
2021-U41;Hovedstaden;37;1,99
2021-U41;Midtjylland;4;0,30
2021-U41;Nordjylland;1;0,17
2021-U41;Sjælland;4;0,48
2021-U41;Syddanmark;9;0,73
2021-U42;Hovedstaden;83;4,47
2021-U42;Midtjylland;5;0,37
2021-U42;Nordjylland;7;1,18
2021-U42;Sjælland;11;1,31
2021-U42;Syddanmark;8;0,65
2021-U43;Hovedstaden;102;5,50
2021-U43;Midtjylland;18;1,35
2021-U43;Nordjylland;4;0,68
2021-U43;Sjælland;18;2,14
2021-U43;Syddanmark;8;0,65
2021-U44;Hovedstaden;122;6,57
2021-U44;Midtjylland;17;1,27
2021-U44;Nordjylland;5;0,85
2021-U44;Sjælland;17;2,02
2021-U44;Syddanmark;15;1,22
2021-U45;Hovedstaden;152;8,18
2021-U45;Midtjylland;25;1,87
2021-U45;Nordjylland;5;0,85
2021-U45;Sjælland;42;4,99
2021-U45;Syddanmark;20;1,63
2021-U46;Hovedstaden;203;10,93
2021-U46;Midtjylland;27;2,02
2021-U46;Nordjylland;9;1,52
2021-U46;Sjælland;32;3,81
2021-U46;Syddanmark;21;1,71
2021-U47;Hovedstaden;208;11,20
2021-U47;Midtjylland;33;2,47
2021-U47;Nordjylland;16;2,71
2021-U47;Sjælland;34;4,04
2021-U47;Syddanmark;30;2,45
2021-U48;Hovedstaden;246;13,24
2021-U48;Midtjylland;44;3,29
2021-U48;Nordjylland;12;2,03
2021-U48;Sjælland;41;4,88
2021-U48;Syddanmark;35;2,86
2021-U49;Hovedstaden;582;31,27
2021-U49;Midtjylland;85;6,35
2021-U49;Nordjylland;31;5,24
2021-U49;Sjælland;73;8,68
2021-U49;Syddanmark;49;4,00
2021-U50;Hovedstaden;1907;102,47
2021-U50;Midtjylland;247;18,45
2021-U50;Nordjylland;86;14,54
2021-U50;Sjælland;234;27,81
2021-U50;Syddanmark;144;11,74
2021-U51;Hovedstaden;2431;130,63
2021-U51;Midtjylland;381;28,46
2021-U51;Nordjylland;144;24,35
2021-U51;Sjælland;344;40,88
2021-U51;Syddanmark;249;20,31
2021-U52;Hovedstaden;4328;232,57
2021-U52;Midtjylland;937;69,99
2021-U52;Nordjylland;418;70,69
2021-U52;Sjælland;725;86,17
2021-U52;Syddanmark;661;53,91
2022-U01;Hovedstaden;5644;303,11
2022-U01;Midtjylland;1653;123,41
2022-U01;Nordjylland;652;110,29
2022-U01;Sjælland;1003;119,16
2022-U01;Syddanmark;1063;86,65
2022-U02;Hovedstaden;6725;361,16
2022-U02;Midtjylland;1784;133,19
2022-U02;Nordjylland;665;112,48
2022-U02;Sjælland;1202;142,80
2022-U02;Syddanmark;1466;119,50
2022-U03;Hovedstaden;9905;531,94
2022-U03;Midtjylland;2659;198,51
2022-U03;Nordjylland;1007;170,33
2022-U03;Sjælland;2259;268,38
2022-U03;Syddanmark;2294;187,00
2022-U04;Hovedstaden;8418;452,08
2022-U04;Midtjylland;2907;217,03
2022-U04;Nordjylland;1193;201,80
2022-U04;Sjælland;2482;294,87
2022-U04;Syddanmark;2626;214,07
2022-U05;Hovedstaden;6829;366,75
2022-U05;Midtjylland;3294;245,92
2022-U05;Nordjylland;1281;216,68
2022-U05;Sjælland;2028;240,93
2022-U05;Syddanmark;2537;206,81
2022-U06;Hovedstaden;6545;351,57
2022-U06;Midtjylland;3988;297,73
2022-U06;Nordjylland;2098;354,95
2022-U06;Sjælland;2260;268,49
2022-U06;Syddanmark;3129;255,09
2022-U07;Hovedstaden;4780;256,76
2022-U07;Midtjylland;2730;203,81
2022-U07;Nordjylland;1529;258,68
2022-U07;Sjælland;1687;200,42
2022-U07;Syddanmark;2140;174,46
2022-U08;Hovedstaden;3324;178,55
2022-U08;Midtjylland;1752;130,80
2022-U08;Nordjylland;857;144,99
2022-U08;Sjælland;1058;125,69
2022-U08;Syddanmark;1330;108,43
2022-U09;Hovedstaden;2381;127,90
2022-U09;Midtjylland;1221;91,16
2022-U09;Nordjylland;571;96,60
2022-U09;Sjælland;722;85,77
2022-U09;Syddanmark;968;78,91
2022-U10;Hovedstaden;1838;98,67
2022-U10;Midtjylland;835;62,29
2022-U10;Nordjylland;403;68,18
2022-U10;Sjælland;579;68,76
2022-U10;Syddanmark;746;60,80
2022-U11;Hovedstaden;1064;57,12
2022-U11;Midtjylland;509;37,97
2022-U11;Nordjylland;243;41,11
2022-U11;Sjælland;415;49,28
2022-U11;Syddanmark;475;38,72
2022-U12;Hovedstaden;796;42,73
2022-U12;Midtjylland;291;21,71
2022-U12;Nordjylland;142;24,02
2022-U12;Sjælland;291;34,56
2022-U12;Syddanmark;343;27,96
2022-U13;Hovedstaden;588;31,57
2022-U13;Midtjylland;164;12,23
2022-U13;Nordjylland;93;15,73
2022-U13;Sjælland;199;23,63
2022-U13;Syddanmark;192;15,65
2022-U14;Hovedstaden;501;26,85
2022-U14;Midtjylland;148;11,03
2022-U14;Nordjylland;84;14,21
2022-U14;Sjælland;172;20,41
2022-U14;Syddanmark;171;13,93
2022-U15;Hovedstaden;361;19,35
2022-U15;Midtjylland;107;7,97
2022-U15;Nordjylland;58;9,81
2022-U15;Sjælland;138;16,38
2022-U15;Syddanmark;137;11,16
2022-U16;Hovedstaden;339;18,17
2022-U16;Midtjylland;139;10,36
2022-U16;Nordjylland;88;14,89
2022-U16;Sjælland;128;15,19
2022-U16;Syddanmark;133;10,83
2022-U17;Hovedstaden;269;14,42
2022-U17;Midtjylland;98;7,30
2022-U17;Nordjylland;50;8,46
2022-U17;Sjælland;84;9,97
2022-U17;Syddanmark;94;7,65
2022-U18;Hovedstaden;213;11,41
2022-U18;Midtjylland;62;4,62
2022-U18;Nordjylland;31;5,24
2022-U18;Sjælland;69;8,18
2022-U18;Syddanmark;76;6,19
2022-U19;Hovedstaden;169;9,05
2022-U19;Midtjylland;49;3,65
2022-U19;Nordjylland;28;4,74
2022-U19;Sjælland;50;5,93
2022-U19;Syddanmark;63;5,13
2022-U20;Hovedstaden;163;8,73
2022-U20;Midtjylland;59;4,39
2022-U20;Nordjylland;25;4,23
2022-U20;Sjælland;38;4,51
2022-U20;Syddanmark;57;4,64
2022-U21;Hovedstaden;123;6,59
2022-U21;Midtjylland;35;2,61
2022-U21;Nordjylland;22;3,72
2022-U21;Sjælland;46;5,46
2022-U21;Syddanmark;37;3,01
2022-U22;Hovedstaden;167;8,95
2022-U22;Midtjylland;61;4,54
2022-U22;Nordjylland;25;4,23
2022-U22;Sjælland;50;5,93
2022-U22;Syddanmark;58;4,72
2022-U23;Hovedstaden;371;19,85
2022-U23;Midtjylland;116;8,62
2022-U23;Nordjylland;46;7,77
2022-U23;Sjælland;94;11,13
2022-U23;Syddanmark;89;7,23
2022-U24;Hovedstaden;545;29,16
2022-U24;Midtjylland;194;14,42
2022-U24;Nordjylland;68;11,48
2022-U24;Sjælland;154;18,24
2022-U24;Syddanmark;151;12,27
2022-U25;Hovedstaden;844;45,15
2022-U25;Midtjylland;246;18,28
2022-U25;Nordjylland;125;21,11
2022-U25;Sjælland;215;25,46
2022-U25;Syddanmark;189;15,36
2022-U26;Hovedstaden;983;52,59
2022-U26;Midtjylland;423;31,44
2022-U26;Nordjylland;154;26,01
2022-U26;Sjælland;279;33,04
2022-U26;Syddanmark;468;38,03
2022-U27;Hovedstaden;1710;91,38
2022-U27;Midtjylland;494;36,62
2022-U27;Nordjylland;310;52,26
2022-U27;Sjælland;565;66,82
2022-U27;Syddanmark;512;41,53
2022-U28;Hovedstaden;1346;71,93
2022-U28;Midtjylland;567;42,04
2022-U28;Nordjylland;278;46,87
2022-U28;Sjælland;554;65,51
2022-U28;Syddanmark;543;44,04
2022-U29;Hovedstaden;1131;60,44
2022-U29;Midtjylland;557;41,29
2022-U29;Nordjylland;254;42,82
2022-U29;Sjælland;444;52,51
2022-U29;Syddanmark;510;41,36
2022-U30;Hovedstaden;899;48,04
2022-U30;Midtjylland;567;42,04
2022-U30;Nordjylland;208;35,06
2022-U30;Sjælland;384;45,41
2022-U30;Syddanmark;501;40,63
2022-U31;Hovedstaden;881;47,05
2022-U31;Midtjylland;524;38,80
2022-U31;Nordjylland;244;41,12
2022-U31;Sjælland;393;46,39
2022-U31;Syddanmark;496;40,21
2022-U32;Hovedstaden;996;53,19
2022-U32;Midtjylland;988;73,16
2022-U32;Nordjylland;304;51,23
2022-U32;Sjælland;457;53,95
2022-U32;Syddanmark;635;51,47
2022-U33;Hovedstaden;703;37,55
2022-U33;Midtjylland;656;48,57
