"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
185;Tårnby;06-11;2677;2022-11-14
187;Vallensbæk;06-11;1120;2022-11-14
190;Furesø;06-11;2616;2022-11-14
201;Allerød;06-11;1571;2022-11-14
210;Fredensborg;06-11;2287;2022-11-14
217;Helsingør;06-11;3000;2022-11-14
219;Hillerød;06-11;2900;2022-11-14
223;Hørsholm;06-11;1319;2022-11-14
230;Rudersdal;06-11;3331;2022-11-14
240;Egedal;06-11;2679;2022-11-14
250;Frederikssund;06-11;2090;2022-11-14
253;Greve;06-11;3013;2022-11-14
259;Køge;06-11;2959;2022-11-14
260;Halsnæs;06-11;1354;2022-11-14
265;Roskilde;06-11;4609;2022-11-14
269;Solrød;06-11;1446;2022-11-14
270;Gribskov;06-11;1750;2022-11-14
306;Odsherred;06-11;992;2022-11-14
316;Holbæk;06-11;3093;2022-11-14
320;Faxe;06-11;1613;2022-11-14
326;Kalundborg;06-11;2139;2022-11-14
329;Ringsted;06-11;1602;2022-11-14
330;Slagelse;06-11;3547;2022-11-14
336;Stevns;06-11;1057;2022-11-14
340;Sorø;06-11;1241;2022-11-14
350;Lejre;06-11;1412;2022-11-14
360;Lolland;06-11;1594;2022-11-14
370;Næstved;06-11;3763;2022-11-14
376;Guldborgsund;06-11;2358;2022-11-14
390;Vordingborg;06-11;1669;2022-11-14
400;Bornholm;06-11;1599;2022-11-14
410;Middelfart;06-11;1790;2022-11-14
420;Assens;06-11;1922;2022-11-14
430;Faaborg-Midtfyn;06-11;2374;2022-11-14
440;Kerteminde;06-11;1074;2022-11-14
450;Nyborg;06-11;1409;2022-11-14
461;Odense;06-11;9679;2022-11-14
479;Svendborg;06-11;2785;2022-11-14
480;Nordfyn;06-11;1328;2022-11-14
482;Langeland;06-11;398;2022-11-14
492;Ærø;06-11;205;2022-11-14
510;Haderslev;06-11;2514;2022-11-14
530;Billund;06-11;1402;2022-11-14
540;Sønderborg;06-11;3546;2022-11-14
550;Tønder;06-11;1778;2022-11-14
561;Esbjerg;06-11;5827;2022-11-14
563;Fanø;06-11;110;2022-11-14
573;Varde;06-11;2465;2022-11-14
575;Vejen;06-11;2085;2022-11-14
580;Aabenraa;06-11;2840;2022-11-14
607;Fredericia;06-11;2475;2022-11-14
615;Horsens;06-11;5046;2022-11-14
621;Kolding;06-11;4867;2022-11-14
630;Vejle;06-11;6283;2022-11-14
657;Herning;06-11;4739;2022-11-14
661;Holstebro;06-11;3160;2022-11-14
665;Lemvig;06-11;814;2022-11-14
671;Struer;06-11;913;2022-11-14
706;Syddjurs;06-11;1992;2022-11-14
707;Norddjurs;06-11;1454;2022-11-14
710;Favrskov;06-11;2735;2022-11-14
727;Odder;06-11;1170;2022-11-14
730;Randers;06-11;4704;2022-11-14
740;Silkeborg;06-11;5032;2022-11-14
741;Samsø;06-11;92;2022-11-14
746;Skanderborg;06-11;4005;2022-11-14
751;Århus;06-11;16107;2022-11-14
756;Ikast-Brande;06-11;2323;2022-11-14
760;Ringkøbing-Skjern;06-11;2822;2022-11-14
766;Hedensted;06-11;2428;2022-11-14
773;Morsø;06-11;989;2022-11-14
779;Skive;06-11;2132;2022-11-14
787;Thisted;06-11;2026;2022-11-14
791;Viborg;06-11;5172;2022-11-14
810;Brønderslev;06-11;1912;2022-11-14
813;Frederikshavn;06-11;2601;2022-11-14
820;Vesthimmerland;06-11;1896;2022-11-14
825;Læsø;06-11;40;2022-11-14
840;Rebild;06-11;1865;2022-11-14
846;Mariagerfjord;06-11;2041;2022-11-14
