"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
173;Lyngby-Taarbæk;30-39;5;2022-11-14
175;Rødovre;30-39;9;2022-11-14
185;Tårnby;30-39;4;2022-11-14
187;Vallensbæk;30-39;4;2022-11-14
190;Furesø;30-39;2;2022-11-14
210;Fredensborg;30-39;3;2022-11-14
217;Helsingør;30-39;7;2022-11-14
219;Hillerød;30-39;15;2022-11-14
223;Hørsholm;30-39;2;2022-11-14
230;Rudersdal;30-39;3;2022-11-14
240;Egedal;30-39;5;2022-11-14
250;Frederikssund;30-39;6;2022-11-14
253;Greve;30-39;6;2022-11-14
259;Køge;30-39;12;2022-11-14
260;Halsnæs;30-39;6;2022-11-14
265;Roskilde;30-39;9;2022-11-14
269;Solrød;30-39;4;2022-11-14
270;Gribskov;30-39;9;2022-11-14
306;Odsherred;30-39;1;2022-11-14
316;Holbæk;30-39;5;2022-11-14
320;Faxe;30-39;2;2022-11-14
326;Kalundborg;30-39;3;2022-11-14
329;Ringsted;30-39;3;2022-11-14
330;Slagelse;30-39;15;2022-11-14
336;Stevns;30-39;3;2022-11-14
340;Sorø;30-39;1;2022-11-14
350;Lejre;30-39;5;2022-11-14
360;Lolland;30-39;4;2022-11-14
370;Næstved;30-39;22;2022-11-14
376;Guldborgsund;30-39;17;2022-11-14
390;Vordingborg;30-39;2;2022-11-14
400;Bornholm;30-39;6;2022-11-14
410;Middelfart;30-39;3;2022-11-14
420;Assens;30-39;3;2022-11-14
430;Faaborg-Midtfyn;30-39;6;2022-11-14
440;Kerteminde;30-39;1;2022-11-14
450;Nyborg;30-39;3;2022-11-14
461;Odense;30-39;26;2022-11-14
479;Svendborg;30-39;13;2022-11-14
480;Nordfyn;30-39;3;2022-11-14
482;Langeland;30-39;3;2022-11-14
510;Haderslev;30-39;5;2022-11-14
530;Billund;30-39;3;2022-11-14
540;Sønderborg;30-39;10;2022-11-14
550;Tønder;30-39;2;2022-11-14
561;Esbjerg;30-39;12;2022-11-14
573;Varde;30-39;1;2022-11-14
575;Vejen;30-39;2;2022-11-14
580;Aabenraa;30-39;14;2022-11-14
607;Fredericia;30-39;2;2022-11-14
615;Horsens;30-39;12;2022-11-14
621;Kolding;30-39;11;2022-11-14
630;Vejle;30-39;14;2022-11-14
657;Herning;30-39;15;2022-11-14
661;Holstebro;30-39;3;2022-11-14
665;Lemvig;30-39;1;2022-11-14
706;Syddjurs;30-39;3;2022-11-14
707;Norddjurs;30-39;2;2022-11-14
710;Favrskov;30-39;7;2022-11-14
730;Randers;30-39;9;2022-11-14
740;Silkeborg;30-39;20;2022-11-14
746;Skanderborg;30-39;6;2022-11-14
751;Århus;30-39;56;2022-11-14
756;Ikast-Brande;30-39;7;2022-11-14
760;Ringkøbing-Skjern;30-39;4;2022-11-14
766;Hedensted;30-39;5;2022-11-14
773;Morsø;30-39;5;2022-11-14
779;Skive;30-39;4;2022-11-14
787;Thisted;30-39;4;2022-11-14
791;Viborg;30-39;7;2022-11-14
810;Brønderslev;30-39;1;2022-11-14
813;Frederikshavn;30-39;5;2022-11-14
820;Vesthimmerland;30-39;5;2022-11-14
840;Rebild;30-39;4;2022-11-14
846;Mariagerfjord;30-39;5;2022-11-14
849;Jammerbugt;30-39;3;2022-11-14
851;Aalborg;30-39;32;2022-11-14
860;Hjørring;30-39;7;2022-11-14
;;40-49;4;2022-11-14
011;;40-49;2;2022-11-14
101;København;40-49;75;2022-11-14
147;Frederiksberg;40-49;7;2022-11-14
151;Ballerup;40-49;3;2022-11-14
153;Brøndby;40-49;3;2022-11-14
155;Dragør;40-49;1;2022-11-14
157;Gentofte;40-49;6;2022-11-14
159;Gladsaxe;40-49;8;2022-11-14
161;Glostrup;40-49;5;2022-11-14
163;Herlev;40-49;4;2022-11-14
165;Albertslund;40-49;6;2022-11-14
167;Hvidovre;40-49;15;2022-11-14
169;Høje Tåstrup;40-49;8;2022-11-14
173;Lyngby-Taarbæk;40-49;6;2022-11-14
175;Rødovre;40-49;8;2022-11-14
183;Ishøj;40-49;4;2022-11-14
185;Tårnby;40-49;10;2022-11-14
187;Vallensbæk;40-49;1;2022-11-14
190;Furesø;40-49;3;2022-11-14
201;Allerød;40-49;5;2022-11-14
210;Fredensborg;40-49;6;2022-11-14
217;Helsingør;40-49;10;2022-11-14
219;Hillerød;40-49;26;2022-11-14
230;Rudersdal;40-49;6;2022-11-14
240;Egedal;40-49;9;2022-11-14
250;Frederikssund;40-49;11;2022-11-14
253;Greve;40-49;5;2022-11-14
259;Køge;40-49;13;2022-11-14
260;Halsnæs;40-49;6;2022-11-14
265;Roskilde;40-49;14;2022-11-14
269;Solrød;40-49;7;2022-11-14
270;Gribskov;40-49;10;2022-11-14
306;Odsherred;40-49;4;2022-11-14
316;Holbæk;40-49;8;2022-11-14
320;Faxe;40-49;5;2022-11-14
326;Kalundborg;40-49;4;2022-11-14
329;Ringsted;40-49;4;2022-11-14
330;Slagelse;40-49;16;2022-11-14
336;Stevns;40-49;2;2022-11-14
340;Sorø;40-49;6;2022-11-14
350;Lejre;40-49;7;2022-11-14
360;Lolland;40-49;6;2022-11-14
370;Næstved;40-49;13;2022-11-14
376;Guldborgsund;40-49;21;2022-11-14
390;Vordingborg;40-49;6;2022-11-14
400;Bornholm;40-49;9;2022-11-14
410;Middelfart;40-49;3;2022-11-14
420;Assens;40-49;7;2022-11-14
430;Faaborg-Midtfyn;40-49;3;2022-11-14
440;Kerteminde;40-49;5;2022-11-14
450;Nyborg;40-49;3;2022-11-14
461;Odense;40-49;30;2022-11-14
479;Svendborg;40-49;10;2022-11-14
480;Nordfyn;40-49;2;2022-11-14
482;Langeland;40-49;1;2022-11-14
510;Haderslev;40-49;11;2022-11-14
530;Billund;40-49;2;2022-11-14
540;Sønderborg;40-49;12;2022-11-14
550;Tønder;40-49;5;2022-11-14
561;Esbjerg;40-49;19;2022-11-14
573;Varde;40-49;6;2022-11-14
575;Vejen;40-49;1;2022-11-14
580;Aabenraa;40-49;9;2022-11-14
607;Fredericia;40-49;9;2022-11-14
615;Horsens;40-49;14;2022-11-14
621;Kolding;40-49;18;2022-11-14
630;Vejle;40-49;22;2022-11-14
657;Herning;40-49;12;2022-11-14
661;Holstebro;40-49;7;2022-11-14
706;Syddjurs;40-49;5;2022-11-14
710;Favrskov;40-49;7;2022-11-14
727;Odder;40-49;1;2022-11-14
730;Randers;40-49;13;2022-11-14
740;Silkeborg;40-49;14;2022-11-14
746;Skanderborg;40-49;7;2022-11-14
751;Århus;40-49;34;2022-11-14
756;Ikast-Brande;40-49;14;2022-11-14
760;Ringkøbing-Skjern;40-49;5;2022-11-14
766;Hedensted;40-49;6;2022-11-14
779;Skive;40-49;5;2022-11-14
787;Thisted;40-49;6;2022-11-14
791;Viborg;40-49;19;2022-11-14
810;Brønderslev;40-49;5;2022-11-14
813;Frederikshavn;40-49;6;2022-11-14
820;Vesthimmerland;40-49;2;2022-11-14
840;Rebild;40-49;3;2022-11-14
846;Mariagerfjord;40-49;7;2022-11-14
849;Jammerbugt;40-49;4;2022-11-14
851;Aalborg;40-49;29;2022-11-14
860;Hjørring;40-49;8;2022-11-14
;;50-59;4;2022-11-14
101;København;50-59;41;2022-11-14
147;Frederiksberg;50-59;15;2022-11-14
151;Ballerup;50-59;8;2022-11-14
157;Gentofte;50-59;7;2022-11-14
159;Gladsaxe;50-59;5;2022-11-14
161;Glostrup;50-59;2;2022-11-14
163;Herlev;50-59;2;2022-11-14
165;Albertslund;50-59;3;2022-11-14
167;Hvidovre;50-59;6;2022-11-14
169;Høje Tåstrup;50-59;8;2022-11-14
173;Lyngby-Taarbæk;50-59;3;2022-11-14
175;Rødovre;50-59;6;2022-11-14
183;Ishøj;50-59;2;2022-11-14
185;Tårnby;50-59;2;2022-11-14
187;Vallensbæk;50-59;2;2022-11-14
190;Furesø;50-59;3;2022-11-14
201;Allerød;50-59;3;2022-11-14
210;Fredensborg;50-59;8;2022-11-14
217;Helsingør;50-59;12;2022-11-14
219;Hillerød;50-59;16;2022-11-14
230;Rudersdal;50-59;5;2022-11-14
240;Egedal;50-59;3;2022-11-14
250;Frederikssund;50-59;5;2022-11-14
253;Greve;50-59;5;2022-11-14
259;Køge;50-59;16;2022-11-14
260;Halsnæs;50-59;8;2022-11-14
265;Roskilde;50-59;8;2022-11-14
269;Solrød;50-59;4;2022-11-14
270;Gribskov;50-59;5;2022-11-14
306;Odsherred;50-59;2;2022-11-14
316;Holbæk;50-59;8;2022-11-14
320;Faxe;50-59;3;2022-11-14
326;Kalundborg;50-59;4;2022-11-14
329;Ringsted;50-59;4;2022-11-14
330;Slagelse;50-59;12;2022-11-14
336;Stevns;50-59;4;2022-11-14
340;Sorø;50-59;4;2022-11-14
350;Lejre;50-59;6;2022-11-14
360;Lolland;50-59;2;2022-11-14
370;Næstved;50-59;15;2022-11-14
376;Guldborgsund;50-59;18;2022-11-14
390;Vordingborg;50-59;9;2022-11-14
400;Bornholm;50-59;5;2022-11-14
410;Middelfart;50-59;2;2022-11-14
420;Assens;50-59;7;2022-11-14
430;Faaborg-Midtfyn;50-59;13;2022-11-14
440;Kerteminde;50-59;3;2022-11-14
450;Nyborg;50-59;5;2022-11-14
461;Odense;50-59;25;2022-11-14
479;Svendborg;50-59;15;2022-11-14
480;Nordfyn;50-59;3;2022-11-14
530;Billund;50-59;1;2022-11-14
540;Sønderborg;50-59;5;2022-11-14
550;Tønder;50-59;4;2022-11-14
561;Esbjerg;50-59;10;2022-11-14
573;Varde;50-59;12;2022-11-14
575;Vejen;50-59;4;2022-11-14
580;Aabenraa;50-59;9;2022-11-14
607;Fredericia;50-59;4;2022-11-14
615;Horsens;50-59;12;2022-11-14
621;Kolding;50-59;9;2022-11-14
630;Vejle;50-59;9;2022-11-14
657;Herning;50-59;13;2022-11-14
661;Holstebro;50-59;7;2022-11-14
671;Struer;50-59;7;2022-11-14
706;Syddjurs;50-59;4;2022-11-14
707;Norddjurs;50-59;6;2022-11-14
710;Favrskov;50-59;6;2022-11-14
727;Odder;50-59;1;2022-11-14
730;Randers;50-59;12;2022-11-14
740;Silkeborg;50-59;10;2022-11-14
746;Skanderborg;50-59;6;2022-11-14
751;Århus;50-59;30;2022-11-14
