"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
159;Gladsaxe;20-39;18;2022-11-14
161;Glostrup;20-39;6;2022-11-14
163;Herlev;20-39;8;2022-11-14
165;Albertslund;20-39;9;2022-11-14
167;Hvidovre;20-39;19;2022-11-14
169;Høje Tåstrup;20-39;15;2022-11-14
173;Lyngby-Taarbæk;20-39;6;2022-11-14
175;Rødovre;20-39;11;2022-11-14
183;Ishøj;20-39;2;2022-11-14
185;Tårnby;20-39;8;2022-11-14
187;Vallensbæk;20-39;6;2022-11-14
190;Furesø;20-39;2;2022-11-14
201;Allerød;20-39;2;2022-11-14
210;Fredensborg;20-39;5;2022-11-14
217;Helsingør;20-39;10;2022-11-14
219;Hillerød;20-39;27;2022-11-14
223;Hørsholm;20-39;3;2022-11-14
230;Rudersdal;20-39;4;2022-11-14
240;Egedal;20-39;6;2022-11-14
250;Frederikssund;20-39;7;2022-11-14
253;Greve;20-39;15;2022-11-14
259;Køge;20-39;25;2022-11-14
260;Halsnæs;20-39;11;2022-11-14
265;Roskilde;20-39;24;2022-11-14
269;Solrød;20-39;6;2022-11-14
270;Gribskov;20-39;11;2022-11-14
306;Odsherred;20-39;1;2022-11-14
316;Holbæk;20-39;19;2022-11-14
320;Faxe;20-39;7;2022-11-14
326;Kalundborg;20-39;8;2022-11-14
329;Ringsted;20-39;6;2022-11-14
330;Slagelse;20-39;34;2022-11-14
336;Stevns;20-39;5;2022-11-14
340;Sorø;20-39;3;2022-11-14
350;Lejre;20-39;11;2022-11-14
360;Lolland;20-39;9;2022-11-14
370;Næstved;20-39;41;2022-11-14
376;Guldborgsund;20-39;24;2022-11-14
390;Vordingborg;20-39;10;2022-11-14
400;Bornholm;20-39;11;2022-11-14
410;Middelfart;20-39;6;2022-11-14
420;Assens;20-39;6;2022-11-14
430;Faaborg-Midtfyn;20-39;10;2022-11-14
440;Kerteminde;20-39;2;2022-11-14
450;Nyborg;20-39;11;2022-11-14
461;Odense;20-39;60;2022-11-14
479;Svendborg;20-39;25;2022-11-14
480;Nordfyn;20-39;4;2022-11-14
482;Langeland;20-39;4;2022-11-14
510;Haderslev;20-39;10;2022-11-14
530;Billund;20-39;3;2022-11-14
540;Sønderborg;20-39;25;2022-11-14
550;Tønder;20-39;2;2022-11-14
561;Esbjerg;20-39;26;2022-11-14
563;Fanø;20-39;1;2022-11-14
573;Varde;20-39;5;2022-11-14
575;Vejen;20-39;3;2022-11-14
580;Aabenraa;20-39;20;2022-11-14
607;Fredericia;20-39;5;2022-11-14
615;Horsens;20-39;24;2022-11-14
621;Kolding;20-39;24;2022-11-14
630;Vejle;20-39;29;2022-11-14
657;Herning;20-39;28;2022-11-14
661;Holstebro;20-39;7;2022-11-14
665;Lemvig;20-39;2;2022-11-14
706;Syddjurs;20-39;3;2022-11-14
707;Norddjurs;20-39;3;2022-11-14
710;Favrskov;20-39;9;2022-11-14
727;Odder;20-39;1;2022-11-14
730;Randers;20-39;21;2022-11-14
740;Silkeborg;20-39;28;2022-11-14
746;Skanderborg;20-39;8;2022-11-14
751;Århus;20-39;108;2022-11-14
756;Ikast-Brande;20-39;13;2022-11-14
760;Ringkøbing-Skjern;20-39;6;2022-11-14
766;Hedensted;20-39;7;2022-11-14
773;Morsø;20-39;5;2022-11-14
779;Skive;20-39;5;2022-11-14
787;Thisted;20-39;5;2022-11-14
791;Viborg;20-39;14;2022-11-14
810;Brønderslev;20-39;3;2022-11-14
813;Frederikshavn;20-39;12;2022-11-14
820;Vesthimmerland;20-39;5;2022-11-14
840;Rebild;20-39;5;2022-11-14
846;Mariagerfjord;20-39;8;2022-11-14
849;Jammerbugt;20-39;3;2022-11-14
851;Aalborg;20-39;55;2022-11-14
860;Hjørring;20-39;11;2022-11-14
;;40-64;8;2022-11-14
011;;40-64;2;2022-11-14
101;København;40-64;132;2022-11-14
147;Frederiksberg;40-64;26;2022-11-14
151;Ballerup;40-64;14;2022-11-14
153;Brøndby;40-64;5;2022-11-14
155;Dragør;40-64;3;2022-11-14
157;Gentofte;40-64;16;2022-11-14
159;Gladsaxe;40-64;15;2022-11-14
161;Glostrup;40-64;7;2022-11-14
163;Herlev;40-64;6;2022-11-14
165;Albertslund;40-64;10;2022-11-14
167;Hvidovre;40-64;27;2022-11-14
169;Høje Tåstrup;40-64;19;2022-11-14
173;Lyngby-Taarbæk;40-64;11;2022-11-14
175;Rødovre;40-64;16;2022-11-14
183;Ishøj;40-64;8;2022-11-14
185;Tårnby;40-64;12;2022-11-14
187;Vallensbæk;40-64;4;2022-11-14
190;Furesø;40-64;8;2022-11-14
201;Allerød;40-64;10;2022-11-14
210;Fredensborg;40-64;16;2022-11-14
217;Helsingør;40-64;22;2022-11-14
219;Hillerød;40-64;46;2022-11-14
223;Hørsholm;40-64;2;2022-11-14
230;Rudersdal;40-64;12;2022-11-14
240;Egedal;40-64;12;2022-11-14
250;Frederikssund;40-64;18;2022-11-14
253;Greve;40-64;11;2022-11-14
259;Køge;40-64;34;2022-11-14
260;Halsnæs;40-64;15;2022-11-14
265;Roskilde;40-64;29;2022-11-14
269;Solrød;40-64;12;2022-11-14
270;Gribskov;40-64;17;2022-11-14
306;Odsherred;40-64;8;2022-11-14
316;Holbæk;40-64;18;2022-11-14
320;Faxe;40-64;9;2022-11-14
326;Kalundborg;40-64;14;2022-11-14
329;Ringsted;40-64;10;2022-11-14
330;Slagelse;40-64;33;2022-11-14
336;Stevns;40-64;6;2022-11-14
340;Sorø;40-64;11;2022-11-14
350;Lejre;40-64;15;2022-11-14
360;Lolland;40-64;12;2022-11-14
370;Næstved;40-64;39;2022-11-14
376;Guldborgsund;40-64;43;2022-11-14
390;Vordingborg;40-64;17;2022-11-14
400;Bornholm;40-64;15;2022-11-14
410;Middelfart;40-64;5;2022-11-14
420;Assens;40-64;14;2022-11-14
430;Faaborg-Midtfyn;40-64;17;2022-11-14
440;Kerteminde;40-64;9;2022-11-14
450;Nyborg;40-64;10;2022-11-14
461;Odense;40-64;62;2022-11-14
479;Svendborg;40-64;26;2022-11-14
480;Nordfyn;40-64;7;2022-11-14
482;Langeland;40-64;1;2022-11-14
492;Ærø;40-64;1;2022-11-14
510;Haderslev;40-64;11;2022-11-14
530;Billund;40-64;3;2022-11-14
540;Sønderborg;40-64;23;2022-11-14
550;Tønder;40-64;9;2022-11-14
561;Esbjerg;40-64;35;2022-11-14
573;Varde;40-64;20;2022-11-14
575;Vejen;40-64;6;2022-11-14
580;Aabenraa;40-64;22;2022-11-14
607;Fredericia;40-64;13;2022-11-14
615;Horsens;40-64;28;2022-11-14
621;Kolding;40-64;34;2022-11-14
630;Vejle;40-64;35;2022-11-14
657;Herning;40-64;32;2022-11-14
661;Holstebro;40-64;18;2022-11-14
671;Struer;40-64;7;2022-11-14
706;Syddjurs;40-64;9;2022-11-14
707;Norddjurs;40-64;9;2022-11-14
710;Favrskov;40-64;13;2022-11-14
727;Odder;40-64;3;2022-11-14
730;Randers;40-64;29;2022-11-14
740;Silkeborg;40-64;28;2022-11-14
746;Skanderborg;40-64;15;2022-11-14
751;Århus;40-64;70;2022-11-14
756;Ikast-Brande;40-64;21;2022-11-14
760;Ringkøbing-Skjern;40-64;12;2022-11-14
766;Hedensted;40-64;11;2022-11-14
773;Morsø;40-64;3;2022-11-14
779;Skive;40-64;7;2022-11-14
787;Thisted;40-64;8;2022-11-14
791;Viborg;40-64;38;2022-11-14
810;Brønderslev;40-64;12;2022-11-14
813;Frederikshavn;40-64;13;2022-11-14
820;Vesthimmerland;40-64;5;2022-11-14
840;Rebild;40-64;5;2022-11-14
846;Mariagerfjord;40-64;20;2022-11-14
849;Jammerbugt;40-64;8;2022-11-14
