"Kommune";"Kommunenavn";"Aldersgruppe";"Bekræftede tilfælde i alt";"Dagsdato"
390;Vordingborg;30-39;2614;2022-11-14
400;Bornholm;30-39;2406;2022-11-14
410;Middelfart;30-39;2624;2022-11-14
420;Assens;30-39;2629;2022-11-14
430;Faaborg-Midtfyn;30-39;3570;2022-11-14
440;Kerteminde;30-39;1620;2022-11-14
450;Nyborg;30-39;2166;2022-11-14
461;Odense;30-39;17344;2022-11-14
479;Svendborg;30-39;4281;2022-11-14
480;Nordfyn;30-39;1976;2022-11-14
482;Langeland;30-39;626;2022-11-14
492;Ærø;30-39;228;2022-11-14
510;Haderslev;30-39;3794;2022-11-14
530;Billund;30-39;1993;2022-11-14
540;Sønderborg;30-39;4989;2022-11-14
550;Tønder;30-39;2350;2022-11-14
561;Esbjerg;30-39;9207;2022-11-14
563;Fanø;30-39;158;2022-11-14
573;Varde;30-39;3503;2022-11-14
575;Vejen;30-39;3100;2022-11-14
580;Aabenraa;30-39;4161;2022-11-14
607;Fredericia;30-39;3805;2022-11-14
615;Horsens;30-39;8406;2022-11-14
621;Kolding;30-39;7299;2022-11-14
630;Vejle;30-39;9855;2022-11-14
657;Herning;30-39;7247;2022-11-14
661;Holstebro;30-39;4767;2022-11-14
665;Lemvig;30-39;1148;2022-11-14
671;Struer;30-39;1307;2022-11-14
706;Syddjurs;30-39;2890;2022-11-14
707;Norddjurs;30-39;2228;2022-11-14
710;Favrskov;30-39;4017;2022-11-14
727;Odder;30-39;1647;2022-11-14
730;Randers;30-39;7641;2022-11-14
740;Silkeborg;30-39;8473;2022-11-14
741;Samsø;30-39;126;2022-11-14
746;Skanderborg;30-39;6018;2022-11-14
751;Århus;30-39;31260;2022-11-14
756;Ikast-Brande;30-39;3376;2022-11-14
760;Ringkøbing-Skjern;30-39;3777;2022-11-14
766;Hedensted;30-39;3455;2022-11-14
773;Morsø;30-39;1366;2022-11-14
779;Skive;30-39;2997;2022-11-14
787;Thisted;30-39;3094;2022-11-14
791;Viborg;30-39;7260;2022-11-14
810;Brønderslev;30-39;2900;2022-11-14
813;Frederikshavn;30-39;4127;2022-11-14
820;Vesthimmerland;30-39;2573;2022-11-14
825;Læsø;30-39;42;2022-11-14
840;Rebild;30-39;2847;2022-11-14
846;Mariagerfjord;30-39;2997;2022-11-14
849;Jammerbugt;30-39;2725;2022-11-14
851;Aalborg;30-39;18291;2022-11-14
860;Hjørring;30-39;4530;2022-11-14
961;;30-39;1;2022-11-14
;;40-49;2398;2022-11-14
011;;40-49;861;2022-11-14
012;;40-49;19;2022-11-14
019;;40-49;268;2022-11-14
101;København;40-49;54118;2022-11-14
147;Frederiksberg;40-49;8981;2022-11-14
151;Ballerup;40-49;4541;2022-11-14
153;Brøndby;40-49;3247;2022-11-14
155;Dragør;40-49;1539;2022-11-14
157;Gentofte;40-49;6954;2022-11-14
159;Gladsaxe;40-49;6671;2022-11-14
161;Glostrup;40-49;2151;2022-11-14
163;Herlev;40-49;2822;2022-11-14
165;Albertslund;40-49;2678;2022-11-14
167;Hvidovre;40-49;5747;2022-11-14
169;Høje Tåstrup;40-49;4980;2022-11-14
173;Lyngby-Taarbæk;40-49;5106;2022-11-14
175;Rødovre;40-49;4177;2022-11-14
183;Ishøj;40-49;2298;2022-11-14
185;Tårnby;40-49;4717;2022-11-14
187;Vallensbæk;40-49;1781;2022-11-14
190;Furesø;40-49;4011;2022-11-14
201;Allerød;40-49;2515;2022-11-14
210;Fredensborg;40-49;3564;2022-11-14
217;Helsingør;40-49;5076;2022-11-14
219;Hillerød;40-49;4963;2022-11-14
223;Hørsholm;40-49;2144;2022-11-14
230;Rudersdal;40-49;5136;2022-11-14
240;Egedal;40-49;4539;2022-11-14
250;Frederikssund;40-49;3890;2022-11-14
253;Greve;40-49;5037;2022-11-14
259;Køge;40-49;5539;2022-11-14
260;Halsnæs;40-49;2498;2022-11-14
265;Roskilde;40-49;8124;2022-11-14
269;Solrød;40-49;2401;2022-11-14
270;Gribskov;40-49;3249;2022-11-14
306;Odsherred;40-49;1961;2022-11-14
316;Holbæk;40-49;5682;2022-11-14
320;Faxe;40-49;2970;2022-11-14
326;Kalundborg;40-49;3467;2022-11-14
329;Ringsted;40-49;3113;2022-11-14
330;Slagelse;40-49;6183;2022-11-14
336;Stevns;40-49;1799;2022-11-14
340;Sorø;40-49;2373;2022-11-14
350;Lejre;40-49;2682;2022-11-14
360;Lolland;40-49;2767;2022-11-14
370;Næstved;40-49;6833;2022-11-14
376;Guldborgsund;40-49;4489;2022-11-14
390;Vordingborg;40-49;3137;2022-11-14
400;Bornholm;40-49;2848;2022-11-14
410;Middelfart;40-49;3168;2022-11-14
420;Assens;40-49;3088;2022-11-14
430;Faaborg-Midtfyn;40-49;3932;2022-11-14
440;Kerteminde;40-49;1808;2022-11-14
450;Nyborg;40-49;2594;2022-11-14
461;Odense;40-49;15403;2022-11-14
479;Svendborg;40-49;4701;2022-11-14
480;Nordfyn;40-49;2418;2022-11-14
482;Langeland;40-49;717;2022-11-14
492;Ærø;40-49;337;2022-11-14
510;Haderslev;40-49;4202;2022-11-14
530;Billund;40-49;2196;2022-11-14
540;Sønderborg;40-49;5543;2022-11-14
550;Tønder;40-49;2333;2022-11-14
561;Esbjerg;40-49;8769;2022-11-14
563;Fanø;40-49;230;2022-11-14
573;Varde;40-49;3604;2022-11-14
575;Vejen;40-49;3486;2022-11-14
580;Aabenraa;40-49;4564;2022-11-14
607;Fredericia;40-49;4184;2022-11-14
615;Horsens;40-49;8213;2022-11-14
621;Kolding;40-49;7784;2022-11-14
630;Vejle;40-49;9979;2022-11-14
657;Herning;40-49;7551;2022-11-14
